name,gutendex_query,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes,verified_independent_works,gutenberg_ids,titles,eligible
Harold Frederic,Frederic Harold,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,15,133|298|54989|54987|54764|54900|55339|44304|54988|50496|9787|54986|57537|56005|46124,"The Damnation of Theron Ware | The Market-Place | The Young Emperor, William II of Germany: A Study in Character Development on a Throne | Seth's Brother's Wife: A Study of Life in the Greater New York | In the Sixties | The Return of the O'Mahony: A Novel | The Lawton Girl | The Deserter, and Other Stories: A Book of Two Wars | Gloria Mundi | Mrs Albert Grundy—Observations in Philistia | In the Valley | March Hares | Index for Works of Harold Frederic: Hyperlinks to All Chapters of All Individual Ebooks | Marsena, and Other Stories of the Wartime | The Copperhead",true
Frank R. Stockton,Stockton,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,41,22737|20598|25549|20836|396|429|76838|12067|427|2011|17053|12334|17582|20651|12460|35570|12190|11671|6127|18822|10948|24713|13356|28662|13531|69838|71711|27527|26895|35480|30848|71032|65841|10973|18654|71952|23175|10368|74633|55532|11106,"John Gayther's Garden and the Stories Told Therein | Buccaneers and Pirates of Our Coasts | A Chosen Few: Short Stories | Ting-a-ling | The Lady, or the Tiger? | The Magic Egg, and Other Stories | Error's chains : $b How forged and broken : A comparative history of the national, social and religious errors that mankind has fallen into and practised from the creation down to the present time. | The Bee-Man of Orn and Other Fanciful Tales | The Great War Syndicate | Rudder Grange | Kate Bonnet: The Romance of a Pirate's Daughter | A Bicycle of Cathay | Round-about Rambles in Lands of Fact and Fancy | A Jolly Fellowship | Pomona's Travels: A Series of Letters to the Mistress of Rudder Grange from her Former Handmaiden | The casting away of Mrs. Lecks and Mrs. Aleshine | The Adventures of Captain Horn | The Rudder Grangers Abroad and Other Stories | The Great Stone of Sardis | The House of Martha | The Stories of the Three Burglars | Stories of New Jersey | The Captain's Toll-Gate | The Squirrel Inn | Amos Kilbright; His Adscititious Experiences: With Other Stories | Captain Chap; or, The Rolling Stones | Tales out of school | Rules and Regulations of the Insane Asylum of California: Prescribed by the Resident Physician, August 1, 1861 | The Associate Hermits | The Dusantes | Mrs. Cliff's Yacht | Fanciful tales | The Lost Dryad | The Late Mrs. Null | What Might Have Been Expected | The young master of Hyson Hall | My Terminal Moraine: 1892 | The Vizier of the Two-Horned Alexander | The poor Count's Christmas | The Story of Viteau | The Girl at Cobhurst",true
Anthony Hope,Hope Anthony,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,36,20981|22191|22436|1145|1203|428|24034|67645|10057|13909|41182|20328|48642|58478|33293|11063|45749|40414|49630|42222|41438|43083|38796|41822|19752|47319|28935|40583|14755|24985|39547|51642|40570|41599|40697|36876,"Tristram of Blent: An Episode in the Story of an Ancient House | Half a Hero: A Novel | The prisoner of Zenda | Rupert of Hentzau: From The Memoirs of Fritz Von Tarlenheim: Sequel to The Prisoner of Zenda | Dolly Dialogues | Frivolous Cupid | The King's Mirror | Dialogue | The Secret of the Tower | The Indiscretion of the Duchess: Being a Story Concerning Two Ladies, a Nobleman, and a Necklace | Mrs. Maxon Protests | Simon Dale | A Servant of the Public | Index of the Project Gutenberg Works of Anthony Hope | The Great Miss Driver | A man of mark | A Change of Air | Sophy of Kravonia: A Novel | Tales of two people | Double Harness | The Heart of Princess Osra | A Young Man's Year | Second String | Phroso: A Romance | Quisanté | The Intrusions of Peggy | Captain Dieppe | The God in the Car: A Novel | Father Stafford | Comedies of Courtship | Beaumaroy Home from the Wars | Lucinda | The Chronicles of Count Antonio | Mr. Witt's Widow: A Frivolous Tale | Sport Royal, and Other Stories | Helena's Path",true
Stanley J. Weyman,Weyman,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,29,22334|1939|39137|11918|1896|2041|19485|2079|15763|38985|39296|39136|29100|39294|39168|38990|39215|38910|38871|39138|59008|38989|38872|39295|39217|39297|39214|38911|39216,"In Kings' Byways | A Gentleman of France: Being the Memoirs of Gaston de Bonne Sieur de Marsac | Shrewsbury: A Romance | The Castle Inn | Under the red robe | The House of the Wolf: A Romance | The Long Night | From the Memoirs of a Minister of France | Count Hannibal: A Romance of the Court of France | My Lady Rotha: A Romance | The Story of Francis Cludde | Historical Romances: Under the Red Robe, Count Hannibal, A Gentleman of France | The Wild Geese | The Great House | Sophia: A Romance | Ovington's Bank | The New Rector | The Abbess Of Vlaye | Chippinge Borough | Starvecrow Farm | Index of the Project Gutenberg Works of Stanley J. Weyman | Laid up in Lavender | A Little Wizard | The man in black | The King's Stratagem, and Other Stories | The red cockade | When Love Calls | For the Cause | The Snowball",true
W. W. Jacobs,Jacobs W W,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,107,21931|21930|21929|12122|10793|12133|11976|28731|28701|12215|12161|5758|10571|10876|10573|11191|11482|25769|21336|10787|21928|6465|10563|11189|10566|12124|12131|10567|10572|10562|10782|10783|11481|12126|10790|10781|10784|10786|10569|10873|10871|10791|12128|12202|10789|11479|12152|10872|11471|11184|11182|11185|12155|10565|10792|12214|10564|11190|12204|12208|10570|12151|10875|10568|11478|12121|12123|12201|10785|12130|11183|11188|12205|10788|11474|12160|10874|11181|12156|12209|11473|11972|12125|12153|12159|11476|12154|12129|12212|11187|10561|11480|12211|12158|11472|11475|11186|12207|12206|12210|11477|12203|12213|12127|12157|78235|12132,"Sea urchins | Salthaven | A master of craft | The Monkey's Paw: The Lady of the Barge and Others, Part 2. | Sailors' Knots (Entire Collection) | The Lady of the Barge and Others, Entire Collection | Dialstone Lane [complete] | The Monkey's Paw | Stories of W.W. Jacobs: An Index to All Volumes and Stories | Odd craft [complete] | Night watches [complete] | Many cargoes | The Old Man of the Sea: Ship's Company, Part 11. | At Sunwich Port [complete] | Ship's Company, the Entire Collection | Captains All and Others | Deep Waters | More cargoes: 1897 | The skipper's wooing, and The brown man's servant | The Toll-House: Sailor's Knots, Part 7. | Light Freights | Short Cruises | Good Intentions: Ship's Company, Part 3. | The Madness of Mr. Lister: Captains All, Book 9. | The Bequest: Ship's Company, Part 6. | The Well: The Lady of the Barge and Others, Part 4. | A Golden Venture: The Lady of the Barge and Others, Part 11. | The Guardian Angel: Ship's Company, Part 7. | Manners Makyth Man: Ship's Company, Part 12. | Friends in Need: Ship's Company, Part 2. | Homeward Bound: Sailor's Knots, Part 2. | Self-Help: Sailor's Knots, Part 3. | Dirty Work: Deep Waters, Part 11. | In the Library: The Lady of the Barge and Others, Part 6. | Prize Money: Sailor's Knots, Part 10. | Deserted: Sailor's Knots, Part 1. | Sentence Deferred: Sailor's Knots, Part 4. | Odd Man Out: Sailor's Knots, Part 6. | Skilled Assistance: Ship's Company, Part 9. | At Sunwich Port, Part 3.: Contents: Chapters 11-15 | At Sunwich Port, Part 1.: Contents: Chapters 1-5 | Double Dealing: Sailor's Knots, Part 11. | A Tiger's Skin: The Lady of the Barge and Others, Part 8. | The Castaway: Odd Craft, Part 2. | The Head of the Family: Sailor's Knots, Part 9. | The Substitute: Deep Waters, Part 9. | Keeping watch [Night watches, Part 2.] | At Sunwich Port, Part 2.: Contents: Chapters 6-10 | Shareholders: Deep Waters, Part 1. | The Constable's Move: Captains All, Book 4. | The Boatswain's Mate: Captains All, Book 2. | Bob's Redemption: Captains All, Book 5. | Stepping backwards [Night watches, Part 5.] | Watch-Dogs: Ship's Company, Part 5. | Keeping Up Appearances: Sailor's Knots, Part 12. | Admiral Peters: Odd Craft, Part 14. | Fairy Gold: Ship's Company, Part 4. | The White Cat: Captains All, Book 10. | Bill's Lapse: Odd Craft, Part 4. | The Changing Numbers: Odd Craft, Part 8. | For Better or Worse: Ship's Company, Part 10. | Back to back [Night watches, Part 1.] | At Sunwich Port, Part 5.: Contents: Chapters 21-25 | Dual Control: Ship's Company, Part 8. | Bedridden and the Winter Offensive: Deep Waters, Part 8. | The Lady of the Barge: The Lady of the Barge and Others, Part 1. | Bill's Paper Chase: Lady of the Barge and Others, Part 3. | The Money Box: Odd Craft, Part 1. | Matrimonial Openings: Sailor's Knots, Part 5. | An Adulteration Act: The Lady of the Barge and Others, Part 10. | The Nest Egg: Captains All, Book 3. | The Temptation of Samuel Burge: Captains All, Book 8. | Lawyer Quince: Odd Craft, Part 5. | Peter's Pence: Sailor's Knots, Part 8. | Sam's Ghost: Deep Waters, Part 4. | His other self [Night watches, Part 10.] | At Sunwich Port, Part 4.: Contents: Chapters 16-20 | Captains All: Captains All, Part 1. | The three sisters [Night watches, Part 6.] | The Persecution of Bob Pretty: Odd Craft, Part 9. | Made to Measure: Deep Waters, Part 3. | Dialstone Lane, Part 2. | Cupboard Love: The Lady of the Barge and Others, Part 5. | The understudy [Night watches, Part 3.] | Easy money [Night watches, Part 9.] | Husbandry: Deep Waters, Part 6. | The weaker vessel [Night watches, Part 4.] | A Mixed Proposal: The Lady of the Barge and Others, Part 9. | The Third String: Odd Craft, Part 12. | Four Pigeons: Captains All, Book 7. | Fine Feathers: Ship's Company, Part 1. | Striking Hard: Deep Waters, Part 10. | A Spirit of Avarice: Odd Craft, Part 11. | The vigil [Night watches, Part 8.] | Paying Off: Deep Waters, Part 2. | The Convert: Deep Waters, Part 5. | Over the Side: Captains All, Book 6. | Establishing Relations: Odd Craft, Part 7. | Breaking a Spell: Odd Craft, Part 6. | Dixon's Return: Odd Craft, Part 10. | Family Cares: Deep Waters, Part 7. | Blundell's Improvement: Odd Craft, Part 3. | Odd Charges: Odd Craft, Part 13. | Captain Rogers: The Lady of the Barge and Others, Part 7. | The unknown [Night watches, Part 7.] | Sea whispers | Three at Table: The Lady of the Barge and Others, Part 12.",true
Richard Harding Davis,Davis Richard Harding,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,53,27232|405|3029|403|1733|3050|358|1620|14297|411|407|334|1742|1843|2283|1764|5956|1823|327|1761|7884|1822|1824|1820|1818|16908|1760|1806|1763|1817|5643|52706|11019|1808|1819|69354|6015|1762|11144|69118|1807|1821|30953|30812|19501|8380|39522|16310|11730|69715|16090|67682|15089,"The White Mice | Adventures and Letters of Richard Harding Davis | Real Soldiers of Fortune | Soldiers of Fortune | The Red Cross Girl | Notes of a War Correspondent | The Scarlet Car | The Lion and the Unicorn | The Congo and Coasts of Africa | The King's Jackal | The Reporter Who Made Himself King | Episodes in Van Bibber's Life | Miss Civilization: A Comedy in One Act | Vera, the Medium | The Lost Road | Billy and the Big Stick | Gallegher and Other Stories | The Make-Believe Man | The Princess Aline | My Buried Treasure | In the Fog | The Amateur | Peace Manoeuvres | A Wasted Day | The Spy | Once Upon A Time | The Man Who Could Not Lose | The Frame Up | The Nature Faker | A Question of Latitude | Ranson's Folly | About Paris | Van Bibber and Others | The Log of the ""Jolly Polly"" | The Messengers | Three gringos in Venezuela and Central America | Captain Macklin: His Memoirs | The Consul | Somewhere in France | The West from a car window | The Lost House | A Charmed Life | The Boy Scout and Other Stories for Boys | With the French in France and Salonika | The Boy Scout | Cuba in War Time | The Rulers of the Mediterranean | Cinderella, and Other Stories | With the Allies | The scarlet car; The Princess Aline | The Exiles and Other Stories | Stories for Boys | The Deserter",true
Owen Wister,Wister,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,16,26448|28675|1298|76214|1386|1385|1379|862|1390|1388|1387|56717|48468|71547|23923|32098,"The Dragon of Wantley: His Tale | Red Men and White | The Virginian: A Horseman of the Plains | Twenty-five years of the Philadelphia Orchestra, 1900-1925 | Lady Baltimore | Lin McLean | A Straight Deal; Or, The Ancient Grudge | Philosophy 4: A Story of Harvard University | The Jimmyjohn Boss, and Other Stories | Padre Ignacio; Or, The Song of Temptation | Mother | Members of the Family | A ""Bawl"" for American Cricket | A journey in search of Christmas | How Doth the Simple Spelling Bee | The Pentecost of Calamity",true
Gertrude Atherton,Atherton,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,40,48480|48244|47809|13246|25542|8535|14197|491|14256|31858|56340|12697|69429|57922|69460|53009|3706|50169|13496|6091|21903|65310|12833|45474|50391|12270|7863|30502|6884|35512|72957|48160|72997|42368|67075|68222|69763|39443|69405|51059,"Montreal from 1535 to 1914. Vol. 3. Biographical | Montreal, 1535-1914. Vol. 2. Under British Rule, 1760-1914 | Montreal, 1535-1914. Vol. 1. Under the French Régime, 1535-1760 | The Conqueror: Being the True and Romantic Story of Alexander Hamilton | Black Oxen | The Sisters-In-Law: A Novel of Our Time | The Living Present | Rezanov | The Bell in the Fog and Other Stories | Ancestors: A Novel | Tower of Ivory: A Novel | The Splendid Idle Forties: Stories of Old California | Perch of the Devil | Julia France and Her Times: A Novel | Rulers of kings: A novel | Patience Sparhawk and Her Times: A Novel | The Valiant Runaways | Hermia Suydam | The White Morning: A Novel of the Power of the German Women in Wartime | Senator North | The Californians | The Crystal Cup | What Dreams May Come | Uncle Sam, Detective | The Travelling Thirds | The Doomswoman: An Historical Romance of Old California | The Avalanche: A Mystery Story | The Gorgeous Isle: A Romance; Scene-- Nevis, B.W.I. 1842 | Sleeping Fires: a Novel | A Daughter of the Vine | The aristocrats : $b being the impressions of the Lady Helen Pole during her sojourn in the Great North Woods as spontaneously recorded in her letters to her friend in North Britain, the Countess of Edge and Ross | Life in the War Zone | Transplanted : $b A novel | Narrative of the Suffering & Defeat of the North-Western Army, Under General Winchester: Massacre of the Prisoners; Sixteen Months Imprisonment of the Writer and Others with the Indians and British | A Whirl Asunder | His fortunate Grace | Kwasa the cliff dweller | Mrs. Balfame: A Novel | Bolo the cave boy | Mrs. Pendleton's Four-in-hand",true
Octave Mirbeau,Mirbeau,literary,fr,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only,6,16820|54528|78398|57775|66681|44139,"Le Journal d'une Femme de Chambre | La 628-E8: Comprenant en annexe le chapitre intégral ""Balzac"" | Sébastien Roch : $b roman de mœurs | Le jardin des supplices | Chez l'illustre Écrivain | Le Calvaire",true
Joris-Karl Huysmans,Huysmans,literary,fr,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only,6,56149|74157|66995|23940|74106|60821,A rebours | En route | Trois Églises: Eaux-fortes originales de Ch. Jouas | Un dilemme | Sainte Lydwine de Schiedam | En ménage,true
Pierre Loti,Loti,literary,fr,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only,23,4785|61747|32138|18427|16465|63141|7809|7263|40916|41100|31863|30703|33316|35854|11035|63887|18358|31918|51313|23423|57425|36814|29565,"Pêcheur d'Islande | Un Jeune Officier Pauvre: fragments de journal intime rassemblés par son fils, Samuel Viaud. | Vers Ispahan | Mon frère Yves | Le château de La Belle-au-bois-dormant | La mort de Philæ | Les Désenchantées — Roman des harems Turcs contemporains | Le Mariage de Loti | Au Maroc | L'exilée | La troisième jeunesse de Madame Prune | Fantôme d'Orient | Jérusalem | Un Pélerin d'Angkor | Aziyadé: Extrait des notes et lettres d'un lieutenant de la marine anglaise entré au  service de la Turquie le 10 mai 1876 tué dans les murs de Kars, le 27 octobre  1877. | Turquie agonisante | Madame Chrysanthème | Quelques aspects du vertige mondial | La chanson des vieux époux | Le roman d'un enfant | La Hyène Enragée | Le livre de la pitié et de la mort | Les derniers jours de Pékin",true
Paul Bourget,Bourget,literary,fr,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only,14,44161|16815|23616|54002|77617|55072|26489|37468|57429|30702|20964|38712|26891|44911,Un Coeur de femme | Physiologie de l'amour moderne | André Cornélis | La duchesse bleue | Le disciple | La dame qui a perdu son peintre | La terre promise | Pastels: dix portraits de femmes | Nouveaux Pastels (Dix portraits d'hommes) | Mensonges | Pauvre petite! | L'Écuyère | L'eau profonde; Les pas dans les pas | Cruelle Énigme,true
Villiers de l'Isle-Adam,Villiers de Isle Adam,literary,fr,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only,9,26681|54387|62874|63285|17623|48518|17399|48781|37138,"L'Ève future | Histoires souveraines | Contes cruels | Nouveaux contes cruels et propos d'au delà | Le secret de l'échafaud | Chez les passants: fantaisies, pamphlets et souvenirs. Suivi de pages inédites | Tribulat Bonhomet | Histoires insolites | Isis: Roman",true
Jules Barbey d'Aurevilly,Barbey Aurevilly,literary,fr,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only,5,13848|64674|63634|40694|38316,Les diaboliques | L'ensorcelée | L'Amour impossible; La bague d'Annibal | Philosophes et Écrivains Religieux | Le Chevalier des Touches,true
Edmond About,About Edmond,literary,fr,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only,13,22813|63267|66927|63979|69794|63951|64202|18092|13704|72773|51709|65546|63937,"La Mère de la Marquise | Dernières lettres d'un bon jeune homme à sa cousine Madeleine | Lettres d'un bon jeune homme à sa cousine Madeleine | L'infâme | De Pontoise à Stamboul | Les mariages de province: La fille du chanoine, Mainfroi, L'album du régiment, Étienne. | Les mariages de Paris | Germaine | L'homme à l'oreille cassée | Le roi des montagnes | Le nez d'un notaire | Le Turco | Tolla",true
Marcel Schwob,Schwob,literary,fr,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only,7,49761|49712|55259|49943|53374|63296|62393,"Le Roi au Masque d'Or | Vies imaginaires | La porte des rêves | Spicilège | Le livre de Monelle | Oeuvres de Marcel Schwob. Volume 2 of 2, La lampe de Psyché; Il libro della mia memoria | Oeuvres de Marcel Schwob. Volume 1 of 2, Spicilège",true
Jean Lorrain,Lorrain Jean,literary,fr,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only,10,61270|63726|41413|63303|59992|52919|72931|61675|64423|71555,"Poussières de Paris | Pelléastres. Le poison de la littérature. Crimes de Montmartre et d'ailleurs. Une aventure. | Monsieur de Phocas, Astarté: Roman | Le crime des riches | La mandragore | Âmes d'automne | Heures d'Afrique | Ellen | L'école des vieilles femmes | Heures de Corse",true
Octave Feuillet,Feuillet,literary,fr,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,French originals only,6,26815|31817|26816|26821|26824|26817,Le roman d'un jeune homme pauvre (Novel) | Monsieur de Camors — Complet | Le roman d'un jeune homme pauvre (Play) | La petite comtesse | Histoire de Sibylle | Julia de Trécoeur,true
Gustav Freytag,Freytag,literary,de,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only,3,50616|52330|51151,"Die Technik des Dramas | Soll und Haben, Bd. 1 (2): Roman in sechs Büchern | Das Nest der Zaunkönige: Erzählung aus dem Anfang des 11. Jahrhunderts",true
Wilhelm Raabe,Raabe,literary,de,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only,11,50444|50445|22123|19795|22635|47268|46411|46561|35603|32008|44639,"Höxter und Corvey: Erzählung | Die Innerste: Erzählung | Zum wilden Mann | Die schwarze Galeere | Die Postgeheimnisse: oder die hauptsächlichsten Regeln welche man beim Reisen und bei Versendungen mit der Post beobachten muß um Verdruß und Verlust zu vermeiden | Alte Nester: Zwei Bücher Lebensgeschichten | Die Chronik der Sperlingsgasse | Keltische Knochen/Gedelöcke: Erzählungen | Meister Autor; oder, die Geschichten vom versunkenen Garten | Deutscher Mondschein | Der Junker von Denow; Ein Geheimnis; Ein Besuch; Auf dem Altenteil: Erzählungen",true
Wilhelm Hauff,Hauff,literary,de,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only,14,6638|6726|6639|60873|60647|6640|61539|61957|61098|13451|60699|6892|13452|6725,"Märchen-Almanach auf das Jahr 1826 | Lichtenstein | Märchen-Almanach auf das Jahr 1827 | Wilhelm Hauffs sämtliche Werke in sechs Bänden. Bd. 3 | Wilhelm Hauffs sämtliche Werke in sechs Bänden. Bd. 1 | Märchen-Almanach auf das Jahr 1828 | Wilhelm Hauffs sämtliche Werke in sechs Bänden. Bd. 5 | Wilhelm Hauffs sämtliche Werke in sechs Bänden. Bd. 6 | Wilhelm Hauffs sämtliche Werke in sechs Bänden. Bd. 4 | Der Mann im Mond: Oder der Zug des Herzens ist des Schicksals Stimme, nebst der Kontrovers-Predigt über H. Clauren und den Mann im Mond | Wilhelm Hauffs sämtliche Werke in sechs Bänden. Bd. 2 | Mitteilungen aus den Memoiren des Satan | Kontrovers-Predigt über H. Clauren und den Mann im Mond: Gehalten vor dem deutschen Publikum in der Herbstmesse 1827 | Othello",true
Paul Heyse,Heyse,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only,11,9085|50861|9059|9066|9064|9065|9086|7858|9083|9099|9084,Das Mädchen von Treppi | Der Jungbrunnen: Neue Märchen von einem fahrenden Schüler | Andrea Delfin: Eine venezianische Novelle | Der letzte Zentaur | Gedichte | Beatrice | Die Witwe von Pisa | L'Arrabbiata | Die Einsamen | Der Weinhüter | Ein Ring,true
Ricarda Huch,Huch Ricarda,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only,8,27446|31658|17169|55578|33827|31150|31834|39430,Der Hahn von Quakenbrück und andere Novellen | Liebesgedichte | Der Fall Deruga | Der letzte Sommer: Eine Erzählung in Briefen | Das Judengrab; Aus Bimbos Seelenwanderungen: Zwei Erzählungen | Gottfried Keller | Lebenslauf des heiligen Wonnebald Pück: Eine Erzählung | Luthers Glaube: Briefe an einen Freund,true
Jakob Wassermann,Wassermann,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only,20,26402|25721|77490|21535|26444|18258|18552|18551|32100|19611|17007|15736|20413|17413|17143|21860|36918|15952|19940|76567,"Engelhart Ratgeber: Roman | Caspar Hauser; oder, Die Trägheit des Herzens, Roman | Die Juden von Zirndorf : $b Roman | Die Schwestern: Drei Novellen | Schläfst du Mutter?; Ruth. Novellen | Deutsche Charaktere und Begebenheiten | Der Wendekreis - Zweite Folge : Oberlins drei Stufen, Sturreganz | Der Wendekreis - Erste Folge: Novellen | Melusine: Ein Liebesroman | Der goldene Spiegel: Erzählungen in einem Rahmen | Imaginäre Brücken: Studien und Aufsätze | Der Mann von vierzig Jahren | Der Moloch | Mein Weg als Deutscher und Jude | Der niegeküßte Mund: Drei Erzählungen | Olivia oder Die unsichtbare Lampe | Die Schaffnerin; Die Mächtigen: Novellen | Die Prinzessin Girnara: Weltspiel und Legende | Die ungleichen Schalen: Fünf einaktige Dramen | Die Masken Erwin Reiners : $b Roman",true
Gustav Meyrink,Meyrink,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only,5,51476|69604|31164|45936|32014,"Der Golem | Die heimtückischen Champignons: und andere Geschichten | Der violette Tod, und andere Novellen | Das grüne Gesicht: Ein Roman | Fledermäuse: Sieben Geschichten",true
Heinrich Mann,Mann Heinrich,literary,de,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only,11,38126|35264|45123|43335|44174|31218|46157|33328|45635|33329|46987,"Der Untertan | Professor Unrat, oder, Das Ende eines Tyrannen | Zwischen den Rassen: Roman | Die Ehrgeizige: Novelle | Die kleine Stadt: Roman | Flöten und Dolche: Novellen | Die Tote und andere Novellen | Flaubert und die Herkunft des modernen Romans | Mnais und Ginevra | Der Vater | Die Armen: Ein Roman",true
Ludwig Ganghofer,Ganghofer,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only,7,64414|47341|58219|48618|44961|77988|48587,"Der Jäger von Fall : $b Hochlandsroman | Das Schweigen im Walde: Roman | Das große Jagen | Der Klosterjaeger: Roman aus dem XIV. Jahrhundert | Reise zur deutschen Front, 1915 | Der laufende Berg : $b Hochlandsroman | Die stählerne Mauer: Reise zur deutschen Front, 1915, Zweiter Teil",true
Clara Viebig,Viebig,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only,4,74895|55565|74557|74386,Die Wacht am Rhein : $b Roman | Das Weiberdorf | Das Kreuz im Venn : $b Roman | Einer Mutter Sohn,true
Karl May,May Karl,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only,4,21798|76382|2779|29336,"Winnetou I | Durchs wilde Kurdistan | Mein Leben und Streben | Durch Wüste und Harem: Gesammelte Reiseromane, Band I",true
Marie von Ebner-Eschenbach,Ebner-Eschenbach,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only,4,78490|40012|77889|31233,"Gesammelte Schriften von Marie von Ebner-Eschenbach (3/10) : $b Dritter Band: Erzählungen. Erster Band. | Ein Buch, das gern ein Volksbuch werden möchte | Gesammelte Schriften von Marie von Ebner-Eschenbach (1/10) : $b Erster Band: Aphorismen. Parabeln, Märchen und Gedichte. | Rittmeister Brand; Bertram Vogelweid: Zwei Erzählungen",true
Hermann Sudermann,Sudermann,literary,de,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,German originals only,4,62132|63946|60293|24174,Stein unter Steinen: Schauspiel in vier Akten | Litauische Geschichten | An geöffneter Tür | Am Glück vorbei,true
Jose Maria de Pereda,Pereda,literary,es,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Spanish originals only,16,12627|23957|14995|74981|55058|53429|71369|54228|63922|24127|49388|25812|72768|75382|65158|71966,"Escenas Montañesas | Al primer vuelo | Los Hombres de Pro | Pedro Sánchez | La Puchera | El sabor de la tierruca | Tipos y paisajes | El buey suelto... Cuadros edificantes de la vida de un solterón | De tal palo, tal astilla | Peñas arriba | Sotileza | La Montálvez | Bocetos al temple. Tipos trashumantes : $b Obras completas - Vol. VIII | Pachín González | Tipos trashumantes: cróquis á pluma | Esbozos y rasguños",true
Concha Espina,Espina Concha,literary,es,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Spanish originals only,7,48081|51724|47388|48954|11657|44529|42456,Ruecas de Marfil (Novelas) | La Esfinge Maragata: Novela | Agua de Nieve (Novela) | Despertar Para Morir (Novela) | La Niña de Luzmela | Dulce Nombre (Novela) | El Jayón: Drama en tres actos,true
Eduardo Zamacois,Zamacois,literary,es,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Spanish originals only,10,75004|62840|53743|50757|51721|48302|24031|48654|45171|48670,"La opinión ajena : $b (novela) | Memorias de un vagón de ferrocarril | El misterio de un hombre pequeñito: novela | La cita: novelas | De carne y hueso; cuentos | La enferma: novela | El teatro por dentro: Autores, comediantes, escenas de la vida de bastidores, etc. | Incesto: novela original | Mis contemporaneos; 1 Vicente Blasco Ibáñez | Teatro galante",true
Matilde Serao,Serao,literary,it,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,Italian originals only,14,21423|42416|19060|62721|39541|49902|42316|64736|19887|46999|17909|27156|41473|42237,L'infedele | Piccole anime | Gli amanti: pastelli | Sognando | Donna Paola | Piccolo romanzo | La conquista di Roma | Saper vivere: Norme di buona creanza | Dal vero | Suor Giovanna della Croce: romanzo | Le Amanti | Fior di passione | Vita e avventure di Riccardo Joanna: romanzo | Cristina,true
