method,profile,top3_count,false_top3_count,source_balanced_false_top3_mass,source_balanced_false_top3_share
uncorrected_centroid,en::Bram Stoker,280,246,5.0243637819404885,0.004631985223843115
uncorrected_centroid,en::Grover Cleveland,339,244,3.408698752228169,0.0031424958339213572
uncorrected_centroid,es::Concha Espina,318,244,4.879999999999984,0.0044988955564089885
uncorrected_centroid,es::Leopoldo Alas,305,244,4.879999999999984,0.0044988955564089885
uncorrected_centroid,en::Anthony Hope,264,244,4.933448275862053,0.004548169779928166
uncorrected_centroid,fr::Honore de Balzac,257,244,4.918095238095221,0.004534015740299768
uncorrected_centroid,es::Jose Maria de Pereda,330,243,4.859999999999984,0.004480457459866329
uncorrected_centroid,de::E. T. A. Hoffmann,284,243,4.96073211330392,0.004573322881368535
uncorrected_centroid,en::William Morris,330,240,4.8382352941176325,0.004460392472452259
uncorrected_centroid,en::G. K. Chesterton,282,239,4.797037037037024,0.00442241160038018
uncorrected_centroid,en::R. D. Blackmore,290,237,4.851732909379952,0.004472835989117375
uncorrected_centroid,en::H. G. Wells,303,235,4.927037037037021,0.004542259227907466
uncorrected_centroid,de::Theodor Fontane,265,235,4.857444209537222,0.0044781012643015684
uncorrected_centroid,de::Clara Viebig,303,234,5.256440124702766,0.004845937524499029
uncorrected_centroid,it::Annie Vivanti,298,233,4.689999999999988,0.004323733639253724
uncorrected_centroid,en::Herman Melville,288,231,4.634054054054044,0.004272156801627637
uncorrected_centroid,en::Robert Louis Stevenson,258,230,4.660492845786952,0.004296530851349768
uncorrected_centroid,ru::Nikolai Gogol,316,228,4.587619047619038,0.004229348145047253
uncorrected_centroid,en::Alice Brown,251,228,4.680144927536223,0.004314648200377634
uncorrected_centroid,en::Stanley J. Weyman,257,227,4.5869316375198625,0.004228714418358604
uncorrected_centroid,fr::Alexandre Dumas,264,225,4.526666666666658,0.004173155850822005
uncorrected_centroid,en::Louisa May Alcott,308,224,4.524999999999991,0.004171619342776782
uncorrected_centroid,en::Israel Zangwill,245,222,4.617555994729899,0.004256947161098381
uncorrected_centroid,en::Mary Wollstonecraft Shelley,293,221,4.419999999999994,0.0040748193359278215
uncorrected_centroid,en::Anthony Trollope,249,221,4.462762321144668,0.004114242126210508
uncorrected_centroid,en::Margaret Oliphant,240,220,4.454313725490189,0.004106453325094148
uncorrected_centroid,it::Gabriele D'Annunzio,256,219,4.3849999999999945,0.004042552666978168
uncorrected_centroid,en::Booth Tarkington,231,216,4.343333333333329,0.004004139965847627
uncorrected_centroid,en::Mark Twain,260,214,4.333983548766153,0.003995520354322494
uncorrected_centroid,en::William McKinley,306,213,3.5813487819370193,0.003301662729714601
uncorrected_centroid,zh::Feng Menglong,304,213,4.259999999999997,0.003927314563586546
uncorrected_centroid,en::P. G. Wodehouse,260,213,4.325911330049257,0.003988078536921714
uncorrected_centroid,en::Kate Chopin,289,212,5.377735380561452,0.0049577602063834835
uncorrected_centroid,en::Edgar Allan Poe,260,212,4.254054054054052,0.003921832967317107
uncorrected_centroid,en::E. Phillips Oppenheim,240,210,4.3382051879465635,0.003999412303861328
uncorrected_centroid,en::Agatha Christie,235,210,4.300740165631467,0.0039648731189403956
uncorrected_centroid,pl::Eliza Orzeszkowa,308,209,4.257777777777772,0.003925265886192914
uncorrected_centroid,en::George Meredith,276,209,4.244999999999998,0.003913485991179552
uncorrected_centroid,de::Hermann Sudermann,240,208,4.578688601260413,0.004221115123440785
uncorrected_centroid,en::Robert W. Chambers,228,207,4.223939280359819,0.0038940700120803757
uncorrected_centroid,de::Ludwig Ganghofer,223,207,4.272220936078664,0.003938581103549553
uncorrected_centroid,fr::Stendhal,215,205,4.1342857142857135,0.0038114179567469712
uncorrected_centroid,en::Jerome K. Jerome,214,205,4.3787476373101155,0.0040367885836333816
uncorrected_centroid,de::Johann Wolfgang von Goethe,254,202,4.176605048698072,0.0038504323554227797
uncorrected_centroid,fr::Victor Hugo,250,201,4.023809523809526,0.0037095694234637105
uncorrected_centroid,en::E. Nesbit,211,201,4.9223412989397515,0.0045379302042886415
uncorrected_centroid,en::Woodrow Wilson,272,200,4.605371102327617,0.004245713849974622
uncorrected_centroid,en::Charles Reade,235,200,4.046928987811342,0.003730883368927712
uncorrected_centroid,en::Calvin Coolidge,266,199,4.783270385009523,0.0044097200574225665
uncorrected_centroid,en::Marie Corelli,258,199,4.003894523326575,0.0036912096883861215
uncorrected_centroid,en::John Adams,260,198,3.9450505050505082,0.003636961103889514
uncorrected_centroid,en::Sax Rohmer,243,198,4.119992706349528,0.0037982411637363517
uncorrected_centroid,en::Algernon Blackwood,232,198,3.995135135135138,0.0036831343661297045
uncorrected_centroid,fr::Jules Verne,271,196,3.9695238095238126,0.0036595231614193484
uncorrected_centroid,en::Anna Katharine Green,228,195,3.944975604407656,0.0036368920526253126
uncorrected_centroid,en::George Gissing,241,193,3.860000000000003,0.003558552632733354
uncorrected_centroid,de::Gustav Meyrink,233,193,4.120848015034066,0.003799029676941316
uncorrected_centroid,fr::Jules Barbey d'Aurevilly,199,193,3.8638095238095267,0.0035620646511224318
uncorrected_centroid,es::Vicente Blasco Ibanez,218,192,3.840000000000003,0.0035401145361906943
uncorrected_centroid,de::Gustav Freytag,194,192,3.8571021484975003,0.0035558810894448824
uncorrected_centroid,en::Mary E. Wilkins Freeman,215,191,3.8900000000000015,0.0035862097775473424
uncorrected_centroid,en::Harold Frederic,210,191,3.855992544268409,0.0035548581399498756
uncorrected_centroid,de::Hermann Hesse,209,190,4.211854735931342,0.0038829292122380603
uncorrected_centroid,en::Mary Roberts Rinehart,244,189,4.049731205825661,0.0037334667472417914
uncorrected_centroid,de::Wilhelm Raabe,232,185,4.058354203935602,0.003741416330823705
uncorrected_centroid,en::Edgar Rice Burroughs,251,184,3.772208760484625,0.0034776174652441385
uncorrected_centroid,de::Friedrich Schiller,199,183,3.78857314596029,0.003492703871207219
uncorrected_centroid,ru::Ivan Bunin,199,183,3.660000000000003,0.0033741716673067555
uncorrected_centroid,fr::Joris-Karl Huysmans,238,182,3.6438095238095265,0.0033592455891531736
uncorrected_centroid,fr::Marcel Proust,215,182,3.64761904761905,0.0033627576075422514
uncorrected_centroid,de::Heinrich von Kleist,194,181,3.6277002583979354,0.003344394379608661
uncorrected_centroid,de::Karl May,193,181,3.726690880179255,0.0034356543116697558
uncorrected_centroid,de::Gotthold Ephraim Lessing,242,178,3.573341284038961,0.003294280578749124
uncorrected_centroid,de::Friedrich Nietzsche,230,177,3.5607235142118885,0.0032826481958378928
uncorrected_centroid,en::H. Rider Haggard,187,177,3.5843120949003326,0.0033043946222397857
uncorrected_centroid,it::Silvio Pellico,238,176,3.5200000000000027,0.0032451049915081364
uncorrected_centroid,es::Pio Baroja,229,176,3.5200000000000027,0.0032451049915081364
uncorrected_centroid,it::Edmondo De Amicis,221,176,3.5200000000000027,0.0032451049915081364
uncorrected_centroid,en::Frederick Douglass,238,175,3.609126559714798,0.003327271197134963
uncorrected_centroid,it::Matilde Serao,228,175,3.62,0.003337295474221433
uncorrected_centroid,en::Joseph Sheridan Le Fanu,213,174,3.5246740858505587,0.003249414053816198
uncorrected_centroid,en::John Buchan,195,173,3.7699582641111897,0.0034755427217740232
uncorrected_centroid,ja::Shimazaki Toson,223,172,5.234636942005355,0.0048258370651234235
uncorrected_centroid,en::William Dean Howells,205,172,3.522201619778348,0.0032471346754093045
uncorrected_centroid,fr::Emile Zola,248,168,3.3638095238095262,0.0031011122375559355
uncorrected_centroid,ja::Kunikida Doppo,188,167,4.031854987118146,0.0037169865749244486
uncorrected_centroid,fr::Romain Rolland,212,160,3.2000000000000024,0.0029500954468255785
uncorrected_centroid,en::Rudyard Kipling,201,158,3.467046536503061,0.003196286937896895
uncorrected_centroid,es::Jacinto Benavente,212,156,3.1200000000000023,0.002876343060654939
uncorrected_centroid,de::Ludwig Tieck,241,155,3.1555555555555577,0.0029091218989530008
uncorrected_centroid,fr::Octave Mirbeau,231,155,3.1000000000000023,0.002857904964112279
uncorrected_centroid,ja::Okamoto Kido,233,149,5.037950864924533,0.004644511221232762
uncorrected_centroid,en::Franklin D. Roosevelt,205,149,2.8311447811447863,0.002610046040049758
uncorrected_centroid,de::Paul Heyse,156,147,2.9588235294117666,0.0027277536943993855
uncorrected_centroid,fr::Pierre Loti,152,146,2.923809523809526,0.002695474113617418
uncorrected_centroid,ru::Alexander Pushkin,213,141,2.8476190476190495,0.002625233745835857
uncorrected_centroid,en::Samuel Butler,159,141,3.0641861761426994,0.0028248880270201407
uncorrected_centroid,it::Vittorio Alfieri,239,140,2.800000000000002,0.002581333515972381
uncorrected_centroid,fr::Voltaire,219,139,2.7876190476190494,0.002569919456207877
uncorrected_centroid,fr::Gaston Leroux,190,139,2.780000000000002,0.0025628954194297214
uncorrected_centroid,en::Arnold Bennett,139,138,2.8116666666666688,0.0025920890722889328
uncorrected_centroid,de::Theodor Storm,159,135,2.730956072351423,0.002517681585788935
uncorrected_centroid,ru::Leonid Andreyev,157,134,2.928571428571429,0.002699864136603764
uncorrected_centroid,ru::Leo Tolstoy,144,129,2.580000000000002,0.0023785144540031224
uncorrected_centroid,ru::Nikolai Leskov,178,123,2.487619047619049,0.002293348008067979
uncorrected_centroid,en::W. E. B. Du Bois,186,122,2.4101010101010116,0.002221883755090224
uncorrected_centroid,en::Jane Austen,205,121,2.4864705882352958,0.0022922892378183304
uncorrected_centroid,ja::Higuchi Ichiyo,191,121,2.86708536045997,0.0026431798336103824
